origin \ destination (km),00-110,00-324,00-475,00-630,00-682,00-719,66-450,00-800,00-892,01-200,01-699,01-708,01-835,02-300,02-919,02-920,02-933,03-488,03-710,04-551,04-890,05-268,06-393,06-432,06-500,07-074,07-300,07-400,07-441,07-614,08-690,09-200,09-300,09-399,10-569,12-500,12-510,13-545,13-573,13-574,13-900,14-010,14-247,14-255,16-201,16-300,16-450,16-542,16-545,17-010,17-280,17-812,17-900,17-996,18-472,19-002,19-030,19-464,19-593,19-820,20-292,20-700,20-750,20-822,20-837,21-132,21-135,21-140,21-444,21-446,21-455,21-456,21-900,22-040,22-085,22-450,22-461,22-492,22-600,22-610,23-356,23-634,23-644,23-811,25-170,26-430,27-595,27-599,27-702,28-050,28-315,28-397,29-651,30-609,31-161,31-605,31-965,32-021,32-118,35-009,35-248,36-306,36-500,37-200,37-500,37-874,37-906,37-950,37-966,38-477,39-125,39-145,39-425,41-771,42-229,42-525,42-640,42-660,43-100,43-320,43-440,43-700,44-257,44-610,44-971,45-265,45-277,46-100,46-304,46-900,47-315,47-355,47-830,47-833,47-855,47-870,47-919,47-926,47-930,47-935,50-219,50-300,50-476,51-175,52-675,52-900,53-064,53-530,53-633,53-960,54-300,54-470,54-580,54-600,54-780,54-860,55-339,55-630,55-804,56-157,56-240,56-374,56-420,56-955,58-305,59-112,59-218,59-226,61-550,64-131,64-347,64-380,64-386,64-389,65-226,65-794,65-795,65-916,66-417,66-450,67-358,67-670,69-382,70-572,71-117,71-195,71-230,71-475,72-025,72-400,72-465,72-500,72-521,73-034,73-220,73-280,75-190,75-687,75-690,75-700,75-900,75-901,76-050,76-126,76-130,76-746,76-800,76-965,76-968,76-979,76-980,77-010,77-025,77-845,78-385,78-388,79-665,79-670,79-918,79-920,80-240,80-608,84-700,84-801,85-424,86-278,87-034,87-320,87-325,87-383,87-418,87-515,88-046,88-807,88-895,89-187,90-112,90-895,90-905,91-000,91-028,91-140,91-293,91-690,91-712,91-860,91-908,91-910,91-920,92-089,92-090,92-400,92-488,92-490,92-502,92-503,92-508,92-520,92-545,92-580,92-590,92-594,92-634,92-674,92-680,92-687,92-719,92-744,92-804,92-807,92-808,92-904,93-200,93-337,93-540,95-526,95-627,95-710,95-715,95-787,95-790,95-853,95-881,97-082,97-500,98-070,98-082,98-206,98-592,98-770,99-020,99-590,99-600,99-610,99-630,99-640,99-645,99-655,99-670,99-680,99-700,99-866,901011,901012,902011,902012,902013,905011,906011,907011,907011,908011,909312,909314,909321,911011,912011,912013,912014,912015,913011,913025,914011,915011,915012,915013,916011,917011,918011,928071,929001,932071,933071,965713,972712,972711,VEDDER
00-110,0.000,34.610,44.591,50.901,38.940,48.247,48.206,40.264,53.126,56.284,46.369,51.956,41.456,56.299,35.273,3.862,50.697,54.081,29.497,95.655,58.998,59.218,6.710,58.055,45.442,7.801,50.145,34.748,46.669,23.282,255.496,52.748,31.738,53.248,45.327,51.371,43.169,47.532,46.572,47.275,44.818,63.037,57.436,11.774,60.661,46.681,48.426,23.293,39.566,37.853,41.190,41.028,44.614,17.022,84.442,44.956,56.421,53.290,1.825,56.579,50.541,38.675,43.869,44.156,40.610,77.616,77.607,76.944,2.194,2.083,40.208,40.601,26.551,38.557,60.227,34.379,36.520,85.426,35.238,52.085,50.390,58.381,58.431,10.535,34.103,53.519,26.264,37.296,48.677,52.319,3.778,21.498,47.334,25.424,52.400,49.681,47.256,54.147,42.924,49.407,29.626,34.799,50.985,48.610,51.472,24.075,31.948,79.936,80.120,56.701,44.040,34.914,36.740,53.317,39.523,43.243,46.605,41.641,47.058,50.177,24.480,6.859,31.990,48.232,2.465,24.676,24.706,57.192,25.022,37.319,42.069,9.896,39.802,38.546,40.473,41.407,57.081,51.780,50.942,31.567,39.588,9.768,41.804,44.443,33.954,36.160,38.562,63.608,49.316,42.035,26.058,6.227,37.883,50.687,46.959,10.463,85.317,50.517,47.219,86.302,58.949,36.346,0.674,3.010,51.962,38.056,43.143,48.412,0.449,52.367,58.883,60.227,60.312,44.890,78.467,7.801,53.244,48.729,8.874,48.206,5.459,48.711,50.300,32.043,81.709,55.918,50.699,24.763,7.704,55.549,55.582,47.318,48.198,4.795,79.871,61.548,35.845,61.947,58.666,24.863,45.369,59.147,6.093,55.426,38.878,59.732,54.333,52.420,50.978,57.168,25.091,53.533,55.473,46.613,87.238,86.515,46.548,47.298,39.588,39.354,80.017,50.077,51.088,56.048,61.321,44.570,30.290,22.841,44.157,2.031,5.216,38.629,2.605,32.353,51.684,2.579,42.139,39.693,52.589,40.303,40.331,51.745,53.651,3.539,48.176,41.624,57.321,56.132,54.943,40.286,35.906,42.147,21.088,38.921,61.329,48.177,48.610,48.557,9.792,52.720,43.471,51.464,42.514,47.830,39.562,37.367,39.328,30.534,43.169,9.603,42.854,56.312,31.358,10.214,33.125,51.995,44.830,44.914,50.544,7.763,52.319,26.712,36.151,2.954,43.404,47.939,63.723,51.172,28.733,50.181,39.535,33.861,53.486,49.504,54.010,61.074,59.861,52.351,37.133,55.782,54.312,53.477,83.128,83.128,76.142,76.142,76.142,84.421,68.310,37.131,37.131,73.225,72.232,72.232,179.892,44.390,54.892,54.892,54.892,54.892,33.773,52.229,71.657,32.264,32.264,32.264,68.966,17.817,72.943,411.551,78.404,287.058,379.661,75.680,31.066,56.271,33.716
00-324,34.610,0.000,73.992,39.445,51.523,16.377,16.335,79.258,82.527,85.674,75.770,20.086,53.020,85.690,55.569,31.793,98.842,22.210,5.712,125.045,34.574,27.347,30.645,33.631,13.571,30.594,38.419,3.425,14.798,15.983,223.626,20.877,4.719,35.532,74.728,36.688,43.928,15.661,45.450,46.153,12.947,92.438,25.565,42.948,90.062,14.810,16.556,54.466,51.072,5.982,50.453,84.641,48.545,48.195,113.832,76.129,85.812,34.069,34.003,32.155,39.915,6.804,50.607,50.321,46.121,107.007,106.998,106.335,32.416,32.527,51.251,50.859,61.045,6.686,28.356,54.874,55.698,114.816,55.535,100.230,18.519,33.956,30.189,41.708,2.781,36.149,62.336,53.803,16.806,33.693,30.297,52.671,15.463,56.597,33.365,17.810,15.385,22.276,44.524,97.553,4.984,2.928,19.114,16.739,38.432,55.248,4.929,109.327,109.511,24.830,44.982,0.304,4.869,82.707,81.708,55.764,14.734,50.762,48.335,18.306,55.653,38.032,2.828,16.361,30.976,62.501,55.880,32.768,62.847,53.827,49.807,41.069,79.720,78.986,82.112,81.549,25.210,19.909,19.071,4.548,56.095,40.942,54.325,43.320,76.264,52.668,55.069,31.737,97.461,52.441,63.883,37.401,6.012,18.816,48.236,41.636,122.359,37.854,15.348,125.284,27.078,52.854,35.284,34.184,20.091,6.185,11.272,16.541,35.059,36.261,27.012,28.356,28.441,13.019,107.858,30.594,32.520,16.858,40.048,16.335,36.632,40.553,18.429,5.024,111.100,85.309,38.035,55.936,30.250,23.678,23.712,15.448,49.475,35.969,109.262,98.817,3.974,28.281,26.796,56.037,13.498,27.276,37.267,23.555,55.386,27.861,22.462,34.109,37.586,31.065,64.243,21.662,23.602,14.742,126.220,125.497,45.425,46.175,56.095,55.861,109.407,98.222,19.217,24.178,29.450,73.971,4.320,54.014,50.319,34.209,36.390,6.758,35.060,5.333,19.813,35.086,43.767,56.200,20.718,49.697,49.492,34.020,32.114,34.712,16.305,52.852,25.450,24.261,23.072,47.550,52.413,54.668,13.789,7.050,27.664,16.306,16.739,16.686,40.966,20.849,72.872,38.801,10.643,46.708,7.691,5.496,55.836,66.710,43.928,40.776,51.489,24.441,55.335,41.387,55.660,39.332,43.707,13.043,18.673,38.937,33.693,64.537,52.659,31.656,11.533,16.068,100.992,99.317,5.877,18.310,7.664,1.047,21.615,39.760,22.139,29.203,27.990,20.481,53.640,23.912,22.441,36.107,120.170,120.170,115.090,115.090,115.090,125.188,102.224,53.638,53.638,102.616,112.999,112.999,209.283,75.564,101.978,101.978,101.978,101.978,0.959,33.536,112.424,65.588,65.588,65.588,106.234,48.990,102.333,379.681,115.673,255.187,347.790,114.628,55.995,103.356,57.909
00-475,43.878,74.573,0.000,39.531,27.570,58.133,58.174,13.201,8.535,19.809,1.779,55.260,30.087,19.825,24.363,44.304,32.977,53.988,77.568,53.770,47.628,54.804,47.152,46.685,63.433,48.243,38.775,70.763,81.003,63.723,291.447,54.779,76.575,41.878,0.736,40.001,31.799,61.376,35.202,35.905,62.854,18.446,52.008,37.400,20.646,61.917,61.271,26.618,28.196,71.471,29.820,18.585,33.244,37.176,40.098,33.783,19.946,41.920,41.770,45.209,39.171,72.293,32.499,32.786,29.240,29.763,29.754,29.091,42.636,42.525,28.838,29.231,20.654,69.574,53.209,23.469,25.610,41.083,24.328,34.365,58.059,47.011,47.061,36.161,74.637,42.149,21.945,25.925,61.522,40.949,46.803,24.693,61.570,18.367,41.030,57.350,81.590,54.212,31.554,31.687,76.841,72.576,58.654,57.905,40.102,19.921,76.786,37.062,37.245,51.273,32.670,74.877,70.568,16.842,15.651,31.873,60.542,30.271,35.688,57.846,25.637,37.019,76.827,60.120,47.180,19.991,25.863,45.822,19.502,25.949,30.699,38.319,13.663,16.092,16.056,15.492,51.653,57.126,59.599,76.404,28.218,35.394,30.434,33.072,16.584,24.790,27.192,82.957,31.595,30.665,19.156,39.304,71.501,58.356,35.589,38.887,47.856,39.147,59.864,54.907,51.931,24.976,44.552,40.868,56.130,69.225,62.803,59.332,44.327,40.997,54.469,53.209,53.294,61.491,35.593,48.243,41.874,59.150,35.959,58.174,41.104,37.341,57.969,76.880,38.834,19.444,39.329,27.270,48.146,53.581,53.547,61.555,36.828,40.436,36.996,23.887,71.627,50.577,51.649,28.189,63.360,54.733,38.183,58.325,27.508,52.715,53.194,41.050,39.608,45.798,23.853,53.994,58.371,60.849,55.843,55.120,35.178,35.928,28.218,27.984,37.142,32.357,58.757,55.353,56.907,0.021,76.176,26.166,32.787,42.249,39.993,72.246,40.990,77.190,57.029,41.016,30.769,28.322,55.672,28.933,28.961,40.375,42.281,40.339,59.568,30.254,56.805,59.031,56.674,28.916,24.536,30.777,61.529,68.733,49.959,58.204,57.905,57.823,38.216,54.789,0.928,40.094,76.848,36.460,69.374,70.011,27.958,13.641,31.799,38.027,31.484,55.796,20.448,35.840,22.215,40.625,33.460,64.415,61.068,36.115,40.949,17.806,24.781,43.395,64.563,60.601,24.804,33.452,77.733,57.850,70.286,75.418,53.731,38.134,53.517,54.236,52.843,55.175,25.763,50.626,53.215,42.107,54.305,54.305,49.224,49.224,49.224,59.323,29.959,25.761,25.761,30.350,47.134,47.134,135.459,33.941,36.112,36.112,36.112,36.112,75.312,40.859,46.558,12.519,12.519,12.519,40.369,27.765,30.068,440.917,45.296,316.423,409.027,48.762,19.374,37.491,19.371
00-630,50.563,39.990,40.286,0.000,17.086,23.550,23.591,45.553,48.821,51.969,42.065,20.677,17.427,51.985,21.864,50.989,65.137,19.404,42.985,91.340,4.871,20.221,53.837,6.440,28.850,54.928,1.857,36.179,46.420,53.256,256.863,20.195,41.992,3.929,41.022,2.252,8.881,26.792,5.473,3.815,28.270,58.733,17.424,44.086,56.357,27.334,26.688,33.303,16.634,36.887,16.375,50.936,13.154,43.861,80.127,65.943,52.106,5.399,48.455,7.290,0.613,37.709,15.014,14.727,12.008,73.302,73.293,72.630,49.321,49.210,17.173,16.781,27.339,34.990,15.694,21.168,21.992,81.111,21.829,66.525,23.476,6.765,9.815,42.846,40.053,2.791,28.630,20.098,26.938,5.494,53.488,33.881,26.987,32.616,5.575,22.767,47.007,19.629,9.148,63.847,42.257,37.992,24.071,23.322,1.012,32.164,42.202,75.622,75.806,16.690,8.080,40.294,35.985,49.002,48.002,21.642,25.959,15.741,6.825,23.262,32.322,43.704,42.244,25.537,53.865,28.795,32.548,6.677,29.142,20.122,15.370,45.005,46.014,45.281,48.407,47.843,17.069,22.542,25.016,41.821,19.631,42.080,20.203,6.651,42.559,18.963,18.070,48.374,63.755,16.848,30.178,45.989,36.918,23.773,6.725,45.572,88.654,5.793,25.280,91.578,14.417,19.149,51.238,47.553,21.547,34.641,28.219,24.748,51.013,3.514,19.885,15.694,14.543,26.907,74.153,54.928,6.419,24.567,42.644,23.591,47.789,2.189,23.386,42.296,77.395,51.604,5.834,33.955,54.831,16.066,16.033,26.971,7.399,47.121,75.556,65.111,37.044,11.469,14.134,34.874,28.777,20.150,44.868,23.741,21.680,15.200,18.611,5.397,1.859,8.739,30.538,19.411,23.788,26.266,92.514,91.791,4.353,3.603,19.631,18.863,75.702,64.517,24.174,20.769,22.323,40.265,41.593,32.851,14.726,48.935,46.678,37.663,47.675,42.606,22.446,47.701,9.654,19.191,21.088,15.260,15.054,4.920,6.826,47.024,24.984,17.259,22.222,24.447,22.090,13.112,15.865,20.546,51.062,34.150,12.086,23.620,23.322,23.240,44.901,20.206,39.166,3.925,42.265,4.607,34.791,35.428,18.007,33.005,8.881,44.712,16.431,21.213,21.630,42.525,21.954,3.142,6.260,29.832,26.485,42.800,5.494,30.832,18.953,50.080,29.980,26.018,67.286,65.612,43.149,23.267,35.703,40.835,19.148,1.994,18.934,13.508,15.328,20.592,19.935,16.043,18.632,2.832,86.465,86.465,81.384,81.384,81.384,91.483,68.519,19.933,19.933,68.910,79.294,79.294,175.578,66.101,68.272,68.272,68.272,68.272,40.728,5.404,78.718,31.882,31.882,31.882,72.529,34.450,68.628,406.334,81.967,281.840,374.444,80.922,22.290,69.651,24.204
00-682,38.048,51.323,27.771,16.280,0.000,34.883,34.924,33.037,36.306,39.454,24.626,32.010,4.179,39.469,5.904,38.474,52.622,30.737,54.318,78.825,24.378,31.554,41.322,23.435,40.183,42.413,15.525,47.512,57.753,64.589,268.196,31.528,53.325,18.628,28.507,16.751,8.534,38.125,11.952,12.655,39.603,46.218,28.757,31.570,43.842,38.667,38.021,20.788,0.626,48.220,2.249,38.421,5.490,31.346,67.612,53.428,39.591,18.669,35.940,21.959,15.920,49.042,5.755,5.469,10.681,60.786,60.777,60.114,36.806,36.695,1.268,1.660,14.824,46.324,29.959,5.208,5.714,68.596,5.869,54.010,34.809,23.760,23.811,30.331,51.386,18.899,12.283,3.820,38.271,17.699,40.973,21.366,38.320,20.101,17.779,34.100,58.340,30.962,8.289,51.332,53.590,49.325,35.404,34.655,16.852,19.649,53.535,63.107,63.290,28.023,9.405,51.627,47.318,36.487,35.487,5.966,37.291,2.701,12.193,34.595,19.806,31.189,53.577,36.870,41.350,16.280,20.033,22.572,16.627,3.181,2.712,32.489,33.499,32.766,35.891,35.328,28.402,33.876,36.349,53.154,2.865,29.564,4.526,9.822,30.044,2.780,0.984,59.707,51.240,4.758,17.662,33.474,48.251,35.106,12.093,33.057,76.139,15.897,36.614,79.063,28.681,3.158,38.722,35.038,32.880,45.974,39.552,36.081,38.497,17.747,31.219,29.959,30.044,38.240,61.638,42.413,18.624,35.900,30.129,34.924,35.273,14.091,34.719,53.629,64.879,39.088,16.079,21.440,42.316,30.331,30.297,38.304,13.332,34.606,63.041,52.596,48.377,27.326,28.399,22.359,40.110,31.483,32.353,35.074,3.782,29.464,29.944,17.800,16.358,22.548,18.023,30.744,35.121,37.599,79.999,79.276,11.928,12.678,2.865,1.776,63.187,52.002,35.507,32.102,33.657,27.750,52.926,20.336,5.467,36.419,34.163,48.996,35.160,53.939,33.779,35.185,10.872,2.970,32.422,3.082,3.111,17.125,19.030,34.509,36.317,4.347,33.555,35.780,33.424,4.970,5.907,4.869,62.395,45.483,26.709,34.953,34.655,34.573,32.386,31.539,26.651,16.844,53.598,13.210,46.124,46.761,0.921,20.489,8.534,32.197,5.577,32.546,8.453,30.009,6.462,17.375,10.209,41.165,37.818,30.285,17.699,18.317,3.595,37.565,41.313,37.351,54.771,53.097,54.482,34.600,47.035,52.168,30.481,14.884,30.267,30.985,29.593,31.925,1.944,27.376,29.965,18.857,73.950,73.950,68.869,68.869,68.869,78.968,56.004,1.942,1.942,56.395,66.779,66.779,163.062,53.586,55.757,55.757,55.757,55.757,52.062,17.609,66.203,19.367,19.367,19.367,60.014,21.935,56.113,417.667,69.452,293.173,385.777,68.407,9.774,57.136,8.471
00-719,48.370,16.477,58.118,23.571,35.650,0.000,0.041,63.384,66.653,69.800,59.896,2.819,37.146,69.816,39.695,45.553,82.968,6.472,19.472,109.171,18.700,11.609,44.405,17.757,5.300,44.353,22.545,12.666,22.907,29.743,236.243,4.995,18.479,19.658,58.854,20.814,28.054,3.243,29.576,30.279,4.721,76.564,9.691,61.917,74.188,3.784,3.138,51.135,35.198,13.374,34.579,68.767,32.671,61.692,97.958,83.774,69.938,18.195,47.763,16.281,24.041,14.196,34.733,34.447,30.247,91.133,91.124,90.461,46.176,46.287,35.377,34.985,45.171,11.478,12.482,39.000,39.824,98.942,39.661,84.356,1.252,18.082,14.315,60.677,16.541,20.275,46.462,37.929,3.389,17.819,44.057,51.713,3.437,50.447,17.491,0.783,23.494,6.538,28.650,81.679,18.744,14.479,1.848,0.363,22.558,49.995,18.689,93.453,93.637,8.956,29.108,16.781,12.472,66.834,65.834,39.890,2.409,34.888,32.461,1.039,50.153,51.792,18.731,3.314,44.735,46.627,50.380,16.894,46.973,37.953,33.933,54.829,63.846,63.112,66.238,65.674,9.336,4.171,3.333,18.308,40.221,59.911,38.451,27.446,60.390,36.794,39.195,27.753,81.587,36.567,48.009,51.160,13.405,1.549,32.362,55.396,106.485,21.980,3.023,109.410,11.204,36.980,49.044,47.944,4.354,11.128,4.670,6.013,48.819,20.387,11.274,12.482,12.567,3.357,91.984,44.353,16.646,6.330,60.475,0.041,50.392,24.679,1.162,18.783,95.226,69.435,22.162,51.786,44.010,7.795,7.829,3.422,33.601,49.729,93.388,82.943,13.531,12.407,10.922,52.705,5.227,11.538,51.026,7.817,39.512,11.987,6.579,18.235,21.712,15.191,48.369,5.780,7.864,2.716,110.346,109.623,29.551,30.301,40.221,39.987,93.533,82.348,1.951,8.440,13.712,58.097,18.080,50.683,34.445,47.969,50.150,14.150,48.820,19.093,4.075,48.846,27.893,40.326,4.981,33.824,33.617,18.146,16.240,48.472,5.777,36.978,9.712,8.523,7.334,31.675,36.539,38.794,27.549,10.637,11.790,0.071,0.363,0.310,54.726,5.111,56.998,22.927,18.752,30.834,11.278,11.915,39.962,50.836,28.054,54.536,35.615,8.703,39.461,60.356,39.785,23.458,27.833,6.282,2.935,52.696,17.819,48.663,36.785,45.416,6.467,5.540,85.118,83.444,19.636,1.043,12.190,17.322,4.348,23.886,6.257,13.329,12.116,4.598,37.766,8.037,6.558,20.233,104.296,104.296,99.216,99.216,99.216,109.314,86.350,37.764,37.764,86.742,97.125,97.125,193.409,83.933,86.104,86.104,86.104,86.104,17.215,17.662,96.550,49.714,49.714,49.714,90.360,52.281,86.459,385.713,99.799,261.219,353.823,98.754,40.121,87.483,42.035
66-450,48.329,16.436,58.159,23.612,35.691,0.041,0.000,63.425,66.694,69.841,59.937,2.860,37.187,69.857,39.736,45.512,83.009,6.431,19.431,109.212,18.741,11.568,44.364,17.798,5.259,44.312,22.586,12.625,22.866,29.702,236.284,5.036,18.438,19.699,58.895,20.855,28.095,3.202,29.617,30.320,4.680,76.605,9.732,61.958,74.229,3.743,3.097,51.176,35.239,13.333,34.620,68.808,32.712,61.733,97.999,83.815,69.979,18.236,47.721,16.322,24.082,14.155,34.774,34.488,30.288,91.174,91.165,90.502,46.135,46.245,35.418,35.026,45.212,11.436,12.523,39.041,39.865,98.983,39.702,84.397,1.294,18.123,14.356,60.718,16.499,20.316,46.503,37.970,3.348,17.860,44.016,51.754,3.396,50.488,17.532,0.824,23.453,6.497,28.691,81.720,18.703,14.438,1.889,0.404,22.599,50.037,18.648,93.494,93.678,8.997,29.149,16.740,12.431,66.874,65.875,39.931,2.368,34.929,32.502,1.080,50.194,51.751,18.690,3.355,44.694,46.668,50.421,16.935,47.014,37.994,33.974,54.788,63.887,63.153,66.279,65.716,9.377,4.130,3.292,18.267,40.262,59.952,38.492,27.487,60.431,36.835,39.236,27.794,81.628,36.608,48.050,51.119,13.364,1.590,32.403,55.355,106.526,22.021,2.982,109.451,11.245,37.021,49.003,47.903,4.312,11.087,4.628,5.972,48.778,20.428,11.233,12.523,12.608,3.316,92.025,44.312,16.687,6.289,60.516,0.000,50.351,24.720,1.203,18.742,95.267,69.476,22.203,51.827,43.969,7.836,7.870,3.381,33.642,49.688,93.429,82.984,13.490,12.448,10.963,52.746,5.186,11.497,50.985,7.776,39.553,12.028,6.620,18.276,21.753,15.232,48.410,5.821,7.823,2.675,110.387,109.664,29.592,30.342,40.262,40.028,93.574,82.389,1.992,8.399,13.671,58.138,18.039,50.724,34.486,47.928,50.109,14.109,48.779,19.052,4.034,48.805,27.934,40.367,4.939,33.865,33.659,18.187,16.281,48.431,5.736,37.019,9.671,8.482,7.293,31.717,36.580,38.835,27.508,10.596,11.831,0.030,0.404,0.351,54.684,5.070,57.039,22.968,18.711,30.875,11.237,11.874,40.003,50.877,28.095,54.495,35.657,8.662,39.502,60.397,39.827,23.499,27.874,6.241,2.894,52.655,17.860,48.705,36.826,45.375,6.426,5.499,85.159,83.484,19.595,1.084,12.148,17.280,4.389,23.927,6.298,13.370,12.157,4.639,37.807,8.079,6.599,20.274,104.337,104.337,99.257,99.257,99.257,109.355,86.391,37.805,37.805,86.783,97.166,97.166,193.450,83.974,86.145,86.145,86.145,86.145,17.174,17.703,96.591,49.755,49.755,49.755,90.401,52.322,86.500,385.754,99.840,261.260,353.864,98.795,40.162,87.523,42.076
00-800,39.614,80.170,13.201,45.128,33.167,63.730,63.771,0.000,21.736,9.307,14.980,60.858,35.684,10.030,29.960,40.040,26.845,59.585,83.165,57.942,53.225,60.401,42.888,52.283,69.030,43.979,44.373,76.360,86.601,59.459,297.044,60.376,82.172,47.475,13.937,45.599,37.396,66.973,40.800,41.502,68.451,31.648,57.605,33.136,30.572,67.514,66.868,22.964,33.793,77.068,35.417,5.373,38.841,32.912,46.729,27.651,18.709,47.517,37.506,50.807,44.768,77.890,38.096,38.383,34.837,39.904,39.895,39.232,38.372,38.261,34.435,34.828,26.237,75.171,58.806,29.066,31.207,47.713,29.925,28.233,63.656,52.608,52.658,31.897,80.234,47.746,23.342,31.523,67.119,46.546,42.539,21.169,67.167,15.736,46.627,62.947,87.187,59.810,37.151,25.556,82.438,78.173,64.252,63.502,45.699,16.189,82.383,42.224,42.408,56.870,38.267,80.475,76.166,15.604,2.450,37.471,66.139,35.868,41.285,63.443,24.150,32.755,82.425,65.718,42.916,19.701,24.377,51.419,19.212,31.547,36.296,34.055,0.462,2.891,1.680,2.614,57.250,62.723,65.197,82.002,33.815,31.130,36.031,38.670,6.374,30.387,32.789,88.554,25.464,36.262,18.175,35.040,77.098,63.953,41.186,34.623,55.256,44.744,65.461,58.181,57.529,30.573,40.288,36.604,61.728,74.822,68.400,64.929,40.063,46.594,60.066,58.806,58.891,67.088,40.755,43.979,47.471,64.748,31.695,63.771,36.840,42.939,63.566,82.477,43.997,12.138,44.926,24.434,43.882,59.178,59.145,67.152,42.425,36.172,42.159,31.714,77.225,56.174,57.246,24.534,68.957,60.331,33.919,63.922,33.105,58.312,58.791,46.647,45.205,51.395,29.436,59.591,63.968,66.446,59.117,58.394,40.775,41.525,33.815,33.581,42.304,26.225,64.355,60.950,62.504,13.181,81.774,22.512,38.384,37.985,35.729,77.844,36.726,82.787,62.627,36.752,36.366,33.920,61.269,34.530,34.558,45.972,47.878,36.075,65.165,35.851,62.402,64.628,62.271,34.513,30.133,36.374,57.265,74.330,55.557,63.801,63.502,63.420,33.952,60.386,12.621,45.691,82.445,42.058,74.971,75.609,33.555,12.646,37.396,33.763,37.082,61.394,26.045,31.576,27.812,46.222,39.057,70.013,66.665,31.851,46.546,17.520,30.378,39.131,70.161,66.198,33.889,27.320,83.330,63.447,75.883,81.015,59.328,43.731,59.114,59.833,58.440,60.773,31.360,56.223,58.812,47.704,53.067,53.067,47.987,47.987,47.987,58.085,35.121,31.358,31.358,35.513,45.896,45.896,142.180,27.809,29.981,29.981,29.981,29.981,80.909,46.456,45.321,13.847,13.847,13.847,39.131,23.501,35.230,446.514,48.570,322.021,414.624,47.525,24.971,31.359,27.343
00-892,52.432,83.127,8.554,48.085,36.124,66.687,66.728,21.755,0.000,21.147,8.589,63.814,31.957,21.163,26.687,52.858,34.695,62.541,86.122,50.803,56.182,63.358,55.705,55.239,71.987,56.797,47.329,79.316,89.557,72.277,300.000,63.333,85.129,50.432,7.818,48.555,40.352,69.929,43.756,44.459,71.407,13.232,60.561,45.954,17.514,70.471,69.825,35.172,36.750,80.024,33.053,27.139,41.798,45.730,37.132,35.501,19.560,50.474,50.324,53.763,47.724,80.847,34.370,34.656,37.794,26.796,26.787,26.125,51.190,51.079,37.392,37.784,29.208,78.128,61.763,25.793,27.934,38.116,26.652,36.083,66.613,55.565,55.615,44.715,83.191,50.703,30.499,27.796,70.075,49.503,55.357,33.247,70.124,26.921,49.584,65.904,90.144,62.766,40.108,33.406,85.394,81.129,67.208,66.459,48.656,28.475,85.339,34.714,34.898,59.827,41.224,83.431,79.122,15.655,24.205,33.744,69.096,38.825,44.242,66.400,34.190,45.573,85.381,68.674,55.734,28.545,34.417,54.376,28.055,27.820,39.253,46.873,22.217,24.646,24.609,24.046,60.206,65.680,68.153,84.958,30.088,43.948,32.304,41.626,25.138,33.344,35.745,91.511,33.314,32.536,27.710,47.858,80.055,66.910,44.143,47.441,44.889,47.701,68.418,51.734,60.485,33.530,53.106,49.422,64.684,77.778,71.356,67.886,52.881,49.551,63.023,61.763,61.848,70.044,33.245,56.797,50.428,67.704,44.513,66.728,49.657,45.895,66.523,85.433,37.762,20.782,47.883,35.824,56.700,62.135,62.101,70.109,45.382,48.990,34.648,24.775,80.181,59.130,60.203,36.742,71.914,63.287,46.737,66.878,29.379,61.268,61.748,49.604,48.162,54.352,32.406,62.548,66.925,69.403,52.670,51.947,43.732,44.482,30.088,36.538,34.794,34.075,67.311,63.906,65.461,8.575,84.730,34.720,34.657,50.803,48.547,80.800,49.543,85.743,65.583,49.569,39.323,30.193,64.226,37.486,37.514,48.929,50.834,48.893,68.121,32.125,65.359,67.584,65.228,37.470,33.090,32.647,70.083,77.287,58.513,66.758,66.459,66.377,46.770,63.343,9.481,48.648,85.402,45.014,77.928,78.565,30.080,22.195,40.352,46.581,33.355,64.350,29.002,44.393,24.539,49.179,42.014,72.969,69.622,44.669,49.503,26.360,33.335,51.949,73.117,69.155,25.692,35.171,86.287,66.404,78.840,83.972,62.285,46.688,62.071,62.789,61.397,63.729,34.317,59.180,61.769,50.661,47.209,47.209,47.852,47.852,47.852,61.041,30.846,34.315,34.315,31.238,48.852,48.852,132.492,35.660,37.831,37.831,37.831,37.831,83.866,49.413,48.276,21.073,21.073,21.073,35.209,36.319,30.955,449.471,42.123,324.977,417.581,47.390,27.928,39.209,24.191
